Date,Open,High,Low,End,Amount
2024110800:15:14,13800,13805,13795,13800,418360800
2024110800:15:15,13800,13815,13800,13810,288338990
2024110800:15:16,13810,13825,13810,13825,226453500
2024110800:15:17,13820,13825,13820,13825,269753400
2024110800:15:18,13830,13845,13825,13845,206830455
2024110800:15:19,13845,13850,13840,13850,193110550
2024110800:15:20,13845,13865,13845,13865,158740385
2024110800:15:30,13860,13860,13860,13860,219902760
2024111100:09:01,14910,15000,14910,15000,873000000
2024111100:09:02,15005,15060,15000,15025,654819550
2024111100:09:03,15025,15030,15000,15000,579135000
2024111100:09:04,15005,15025,15000,15015,694233540
2024111100:09:05,15010,15015,15005,15010,460897060
2024111100:09:06,15010,15010,15000,15005,546287035
2024111100:09:07,15000,15005,14995,14995,644934950
2024111100:09:08,15000,15000,14995,15000,581490000
2024111100:09:09,14995,15005,14990,14995,726612715
2024111100:09:10,15000,15005,14990,15005,447989280
2024111100:09:11,15005,15010,15000,15000,456615000
2024111100:09:12,15000,15005,14995,15005,169361435
2024111100:09:13,15000,15005,15000,15005,163989645
2024111100:09:14,15005,15020,15000,15000,315990000
2024111100:09:15,15000,15010,14995,15005,643234340
2024111100:09:16,15005,15010,15005,15010,352825060
2024111100:09:17,15010,15015,15005,15010,144381190
2024111100:09:18,15010,15020,15010,15010,164284450
2024111100:09:19,15010,15015,15000,15005,542910910
2024111100:09:20,15000,15005,14995,14995,295581440
2024111100:09:21,14995,15000,14990,14995,146801050
2024111100:09:22,14995,14995,14985,14990,144938310
2024111100:09:23,14990,14990,14975,14985,673845480
2024111100:09:24,14980,14995,14980,14990,231580510
